idx,name,pattern,level,pen,seed,departSpeed,nCAV,nHDV,tripCAV,tripHDV,collisions,warnCAV,redViol,yellowCross,wasted,jStops,cannotStop,minH,cutins,ratio,uMinSteps,cmdSteps,nOpt,optWallMean,optWallMax,maxQueue,safetyPASS,effFlag
16,M16_straight4_heavy_pen100_seed101,straight4,heavy,1.00,101,0,178,0,81.9,NaN,0,0,0,6,0,0,0,0.00,132,1.000,842,44828,51,0.00,0.02,[1 0 1 0 1 0 1 0],1,0
57,M57_all12_moderate_pen50_seed101,all12,moderate,0.50,101,0,36,36,99.5,89.8,0,0,0,0,0,0,0,0.00,25,1.000,76,17752,39,0.00,0.02,[3 1 4 2 4 1 4 2],1,1
