idx,name,pattern,level,pen,seed,departSpeed,nCAV,nHDV,tripCAV,tripHDV,collisions,warnCAV,redViol,yellowCross,wasted,jStops,cannotStop,minH,cutins,ratio,uMinSteps,cmdSteps,nOpt,optWallMean,optWallMax,maxQueue,safetyPASS,effFlag
13,M13_straight4_heavy_pen10_seed202,straight4,heavy,0.10,202,max,16,143,98.0,99.7,0,0,0,0,0,0,0,0.00,19,1.000,160,8691,37,0.03,0.09,[8 0 9 0 10 1 10 1],1,0
16,M16_straight4_heavy_pen100_seed101,straight4,heavy,1.00,101,0,178,0,81.9,NaN,0,0,0,6,0,0,0,-0.00,132,1.000,838,44848,51,0.00,0.02,[1 0 1 0 1 0 1 0],1,0
22,M22_turnmix_moderate_pen10_seed202,turnmix,moderate,0.10,202,max,12,87,91.3,85.4,0,0,0,0,0,0,0,0.01,9,1.000,67,3931,42,0.00,0.03,[5 1 2 0 3 1 2 0],1,1
32,M32_turnmix_heavy_pen50_seed202,turnmix,heavy,0.50,202,max,72,73,95.3,89.7,0,0,0,0,0,0,0,-0.01,72,1.000,419,29217,37,0.01,0.04,[6 2 3 0 3 2 3 0],1,1
48,M48_oneheavy_heavy_pen50_seed101,oneheavy,heavy,0.50,101,0,46,48,106.6,100.9,0,0,0,0,0,2,0,-0.01,45,1.000,340,29410,29,0.02,0.13,[4 11 5 3 4 0 3 0],0,1
53,M53_all12_light_pen50_seed101,all12,light,0.50,101,0,24,24,94.5,88.3,0,0,0,0,0,0,0,0.01,20,1.000,43,7727,20,0.01,0.04,[3 1 3 1 4 2 3 1],1,1
57,M57_all12_moderate_pen50_seed101,all12,moderate,0.50,101,0,36,36,99.5,89.8,0,0,0,0,0,0,0,0.01,34,1.000,108,17735,39,0.00,0.04,[3 1 4 2 4 1 4 2],1,1
58,M58_all12_moderate_pen50_seed202,all12,moderate,0.50,202,max,36,37,98.4,92.6,0,0,0,0,0,0,0,0.00,37,1.000,185,17114,33,0.01,0.05,[3 2 3 2 4 2 3 2],1,1
65,M65_all12_heavy_pen50_seed101,all12,heavy,0.50,101,0,54,56,95.5,88.9,0,0,0,0,0,0,0,-0.00,49,1.000,166,23054,41,0.01,0.03,[5 2 2 2 4 2 2 2],1,1
